8,1024
80,3
16,453
54,21
47,40
103,1
175,1
46,36
48,34
28,122
83,1
36,70
94,1
15,478
77,3
125,1
4,1526
30,117
95,2
73,4
40,48
56,23
53,15
62,11
123,1
92,1
23,249
101,1
20,317
44,36
82,3
25,188
58,9
26,163
137,1
117,1
136,1
86,2
13,586
49,30
22,260
91,2
70,9
45,36
27,164
60,14
93,4
21,277
97,1
75,4
5,1315
114,1
43,37
11,736
39,62
132,1
3,1773
61,9
96,1
87,1
67,12
14,539
17,397
66,8
89,2
50,21
33,103
19,289
57,10
109,2
51,11
31,104
35,73
65,9
52,19
76,1
69,7
37,67
85,2
34,68
81,1
32,96
12,671
10,816
79,1
42,36
90,3
18,358
59,10
78,2
98,1
100,1
63,12
9,895
24,204
64,4
55,11
68,5
84,1
88,3
38,55
104,2
74,4
6,1251
102,1
71,6
29,118
2,2097
72,6
41,43
7,1195
