number_complaints,officer,salary,year
2,2980,77238,2011
2,2980,78012,2013
2,3045,79224,2016
2,3114,73296,2015
2,3114,79224,2016
2,3114,84054,2017
2,3167,43104,2007
2,3167,83220,2016
2,3197,80724,2012
2,3223,50538,2004
2,3223,58668,2005
2,3223,68262,2007
2,3223,73164,2010
2,3232,71382,2002
2,3232,74946,2003
2,3232,93618,2010
2,3232,95490,2011
2,3247,52092,2002
2,3247,75726,2010
2,3264,57426,2002
2,3264,75726,2010
2,3264,79926,2011
2,3264,80724,2013
2,3264,85662,2014
2,3264,93354,2017
2,3343,82422,2004
2,3343,94188,2006
2,3343,96072,2007
2,3560,43104,2012
2,3674,71790,2016
2,3674,76266,2017
2,3707,67908,2002
2,3707,69264,2003
2,3707,69264,2004
2,3707,76476,2005
2,3707,79152,2006
2,3723,75726,2010
2,3723,78012,2012
2,3777,74946,2003
2,3866,69648,2010
2,3866,75372,2012
2,3866,75372,2013
2,3866,79980,2014
2,3891,80400,2005
2,3891,84402,2009
2,3923,75372,2012
2,3923,79980,2014
2,3923,86142,2016
2,3989,73296,2015
2,3989,84054,2017
2,3994,70260,2004
2,4005,61530,2013
2,4028,69264,2003
2,4042,58572,2004
2,4042,64662,2005
2,4042,75726,2010
2,4153,57426,2002
2,4153,77238,2011
2,4153,80724,2012
2,4153,85662,2014
2,4186,61530,2013
2,4186,73296,2015
2,4187,52788,2005
2,4187,57744,2006
2,4187,64992,2008
2,4187,82788,2014
2,4187,87006,2017
2,4219,43104,2007
2,4219,61932,2009
2,4219,69648,2010
2,4240,53136,2004
2,4240,61566,2005
2,4240,77238,2011
2,4240,78012,2012
2,4240,90024,2017
2,4330,68262,2008
2,4330,74628,2011
2,4330,87006,2017
2,4331,68994,2014
2,4331,73296,2015
2,4331,79224,2016
2,4331,84054,2017
2,4338,80022,2003
2,4398,58896,2008
2,4398,75372,2013
2,4398,83220,2016
2,4410,72810,2003
2,4410,72810,2004
2,4410,75102,2005
2,4410,96828,2010
2,4410,99756,2013
2,4410,110370,2015
2,4541,55794,2005
2,4541,68262,2008
2,4544,60918,2011
2,4544,84054,2017
2,4547,68994,2014
2,4547,79224,2016
2,4581,43104,2013
2,4581,73296,2015
2,4581,79224,2016
2,4581,80016,2017
2,4641,75372,2012
2,4641,79980,2014
2,4641,87006,2017
2,4651,52788,2005
2,4651,82788,2014
2,4651,87006,2017
2,4709,60600,2004
2,4709,78360,2010
2,4709,83706,2013
2,4709,88830,2014
2,4754,58572,2004
2,4754,80724,2012
2,4754,85662,2014
2,4790,58896,2007
2,4790,74628,2011
2,4790,75372,2012
2,4790,87006,2017
2,4813,75816,2008
2,4813,92316,2015
2,4813,96060,2017
2,4826,64926,2004
2,4843,64662,2005
2,4843,66924,2006
2,4843,68262,2009
2,4843,73164,2010
2,4843,78012,2013
2,4843,83616,2015
2,4843,89130,2016
2,4859,80022,2005
2,4859,93276,2007
2,4859,93276,2008
2,4859,93276,2009
2,4932,46206,2015
2,4950,66906,2005
2,4950,69270,2006
2,4950,79926,2011
2,4950,89718,2015
2,4950,92430,2016
2,4967,77238,2011
2,4967,80724,2012
2,4967,89130,2016
2,5030,74328,2006
2,5085,66378,2010
2,5085,75372,2012
2,5085,75372,2013
2,5118,61932,2007
2,5118,64992,2008
2,5118,73164,2010
2,5118,74628,2011
2,5118,82788,2014
2,5134,67884,2003
2,5145,68382,2012
2,5145,71748,2013
2,5145,79980,2014
2,5150,80016,2017
2,5192,46872,2002
2,5192,50538,2003
2,5192,78012,2012
2,5192,78012,2013
2,5197,68262,2007
2,5197,70656,2009
2,5197,77238,2011
2,5197,86520,2015
2,5197,89130,2016
2,5253,61512,2002
